id,address,abuse_type_id,abuse_type_other,abuser,description,from_country,from_country_code,created_at
557034,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,5,,man@tasek.com.my,"Received: from [181.118.53.157] (unknown [181.118.53.157])
I regret to inform you about some sad news for you.
Approximately a month or two ago I have succeeded to gain a total access to all your devices utilized for browsing internet.
Moving forward, I have started observing your internet activities on continuous basis.
Within the same week, I moved on with installing a Trojan virus in Operating Systems for all devices that you use to login to email.
Frankly speaking, it wasn't a challenging task for me at all (since you were kind enough to click some of the links in your inbox emails before).
Yeah, geniuses are among us.
If until now you don't believe me, all I need is one-two mouse clicks to make all those videos with everyone you know,
including your friends, colleagues, relatives and others.
Moreover, I am able to upload all that video content online for everyone to see.
There is still a solution to this matter, and here is what you need to do:
You make a transaction of $1340 USD to my account (an equivalent in bitcoins, which recorded depending on the exchange rate at the date of funds transfer),
hence upon receiving the transfer, I will immediately get rid of all those lustful videos without delay.","United States",US,2022-07-29T03:23:51.000000Z
557044,bc1q32k8mjzxg7xpsdj223pr83z2j2vmlqjlm6ekh4,4,"Blackmail sam","Hacker ( scamer)","He sent me on my e-mail that he had hacked my device and that he had obtained private information and is threatening it. This was done 3 months ago, and he came back to him with old screenshots and repeated the threat again and sent me a name His wallet is a Bitcoin wallet and he wants to send money to it. I want to let you know that the wallet is being managed illegally and that it must be closed immediately. I am not the only one who has been threatened by the person’s breath, and it is the same as the given privilege.","United States",US,2022-07-29T03:52:20.000000Z
557054,12TMbVpR1sKrk8coLB9Cy1AX6oZhVUnBpN,99,"Hijacking accounts to create a fake investment scheme.","@abc_vibin_12 or @shorna_luise_q2 on instagram","A fake crypto investment scheme spread with phishing links and hijacked friends accounts. I got the bitcoin wallet but sent no money.","United States",US,2022-07-29T05:02:50.000000Z
557064,bc1qu2edsvygw5c3ly9e99ykwfkglff9h27zrxgzpt,5,Amenaza,dragons@dragons.co.kr,"Un sujeto amenaza con publicar cosas personales mias las cuales no son ciertas y chantajea que si le deposito $1300 por que tiene todas mis cuentas hackeadas según y envia un mensaje dando hasta que dias tienes para hacer deposito   y el mensaje comienza algo asi :
Hola.

Esta es la última advertencia.

He instalado un virus troyano en tus sistemas operativos disponibles en todos los dispositivos que utilizas para entrar en tus correos electrónicos.
Todos los datos personales han sido copiados en mis servidores.
Tengo acceso a tus mensajeros, redes sociales, correos electrónicos, historial de chat y lista de contactos.

Mi virus me permite infiltrarme en tu sistema. Se trata de un virus multiplataforma con un VNC oculto.
Funciona en iOS, Android, Windows y MacOS.
Está encriptado para que su sistema no pueda detectarlo, borro sus firmas todos los días.","United States",US,2022-07-29T05:21:14.000000Z
557074,bc1qu2edsvygw5c3ly9e99ykwfkglff9h27zrxgzpt,3,"Bitcoin tumbler","Bitcoin tumbler","I lost my money to an online scammer last month through crypto currency Bitcoin transactions, I tried all I could to get the money back at a point i came across a United States crypto recovery expert agency.  Visit: (www.cryptoregister.us) an agency helping a lot of people in getting back their funds, I got in contact with them and I provided all information they needed for the recovery, within 48hours they got back my money, I confirmed the payment in my wallet account. Please if you are a victim of online scam quickly contact them to recover all your lost money easily.","United States",US,2022-07-29T05:31:18.000000Z
557084,12TMbVpR1sKrk8coLB9Cy1AX6oZhVUnBpN,3,"Bitcoin tumbler","Bitcoin tumbler","I lost my money to an online scammer last month through crypto currency Bitcoin transactions, I tried all I could to get the money back at a point i came across a United States crypto recovery expert agency.  Visit: (www.cryptoregister.us) an agency helping a lot of people in getting back their funds, I got in contact with them and I provided all information they needed for the recovery, within 48hours they got back my money, I confirmed the payment in my wallet account. Please if you are a victim of online scam quickly contact them to recover all your lost money easily.","United States",US,2022-07-29T05:32:31.000000Z
557094,1BTVafTPmFuN44hC99dpe8Jsp3o1RjV3QF,3,"Bitcoin tumbler","Bitcoin tumbler","I lost my money to an online scammer last month through crypto currency Bitcoin transactions, I tried all I could to get the money back at a point i came across a United States crypto recovery expert agency.  Visit: (www.cryptoregister.us) an agency helping a lot of people in getting back their funds, I got in contact with them and I provided all information they needed for the recovery, within 48hours they got back my money, I confirmed the payment in my wallet account. Please if you are a victim of online scam quickly contact them to recover all your lost money easily.","United States",US,2022-07-29T05:34:07.000000Z
557104,15dPjz2ZF9E4vbSWQi69VpRJm1oHNx3g1C,3,"Bitcoin tumbler","Bitcoin tumbler","I lost my money to an online scammer last month through crypto currency Bitcoin transactions, I tried all I could to get the money back at a point i came across a United States crypto recovery expert agency. Visit: (www.cryptoregister.us) an agency helping a lot of people in getting back their funds, I got in contact with them and I provided all information they needed for the recovery, within 48hours they got back my money, I confirmed the payment in my wallet account. Please if you are a victim of online scam quickly contact them to recover all your lost money easily.","United States",US,2022-07-29T05:36:51.000000Z
557114,16bHkVFULVmxTGVi2XKpwzkt5KrRnThzPg,4,,acmzu99@or.cz,"Hi there!

I regret to inform you about some sad news for you.
Approximately a month or two ago I have succeeded to gain a total access to all your devices utilized for browsing internet.
Moving forward, I have started observing your internet activities on continuous basis.","United States",US,2022-07-29T06:01:29.000000Z
557124,bc1qs2kgdkkr5agza7ued3ydauq80p9phrwyva9fpx,5,,Noreply1@storage.com,"Sextortion Email","United States",US,2022-07-29T06:06:45.000000Z
